id_country,start_place,start_day,prec,presMax,presMin,tmax,tmed,tmin,velmedia
11,Plaza Manuel Becerra (elect.),28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
11,Plaza Manuel Becerra (elect.),28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
9,Torre Woermann,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Plaza O'Shanahan,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
6,Plaza O'Shanahan,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
19,Plaza del Pilar,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
18,Muelle Deportivo,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
19,Plaza del Pilar,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
16,Parque Santa Catalina,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
16,Churruca,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
16,San Telmo,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
1,Base Naval,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,Paseo de Chil - Av. Escaleritas,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
11,Torre Woermann,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
1,Ayuntamiento,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Base Naval,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
10,Churruca,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
10,Churruca,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
10,Churruca,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
1,Castillo de Mata (elect.),18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
1,Castillo de Mata (elect.),18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
15,Plaza Manuel Becerra,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
13,Las Canteras - Luis Morote,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
17,Torre Las Palmas,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
9,C.C. La Minilla,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
9,C.C. La Minilla,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
6,Torre Woermann,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,C.C. El Muelle,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
1,Plaza O'Shanahan,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,C.C. El Muelle,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
1,Vega de San José,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,San Bernardo,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
1,Parque Santa Catalina,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Plaza del Pilar,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,Plaza de la feria,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,Plaza de la feria,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Parque del Estadio Insular,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
9,Teatro Pérez Galdós,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Las Canteras - Luis Morote,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
6,Torre Woermann,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
3,Las Canteras - Luis Morote,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
13,C.C. El Muelle,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Parque del Estadio Insular,5,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4
1,Parque Santa Catalina,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
10,Plaza de la feria,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
9,San Telmo,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
18,San Telmo,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Parque Santa Catalina,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
20,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
12,Mercado Central,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
12,Plaza de España,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
20,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Plaza de España (elect.),30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
16,Cabildo de Gran Canaria,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
18,Oficina Sítycleta (elect.),26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Oficina Sítycleta (elect.),26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
6,Plaza de España (elect.),24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
11,Parque Santa Catalina,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
6,Plaza de España (elect.),24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
17,Aparcamiento Sanapú,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
17,Aparcamiento Sanapú,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
15,Muelle Deportivo,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
18,Plaza San Agustín,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
1,Parque del Estadio Insular,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
14,Parque Santa Catalina,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
1,Plaza de la feria,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Plazoleta de Farray,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plazoleta de Farray,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
6,San Telmo,8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
20,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
26,Parque Santa Catalina,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
6,San Telmo,8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
11,Base Naval,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
2,Las Canteras - Luis Morote,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Plaza de España,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,C.C. El Muelle,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Gabinete Literario,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Plaza de España (elect.),30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
18,Plaza de España (elect.),30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plaza O'Shanahan,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
1,Las Canteras - Luis Morote,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
10,Plaza de la feria,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Plaza de España (elect.),28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
14,Plaza O'Shanahan,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
2,C.C. El Muelle,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
6,Plazoleta de Farray,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Parque Santa Catalina,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Ayuntamiento,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
9,Autoridad portuaria,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
11,San Telmo,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,San Telmo,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,Las Canteras - Luis Morote,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
3,Plazoleta de Farray,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
10,Plaza de la feria,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
9,Autoridad portuaria,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
18,San Telmo,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
1,Gabinete Literario,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
9,Gabinete Literario,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
18,Plazoleta de Farray,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
12,Base Naval,24,0.0,1021.5,1018.5,23.1,20.2,17.4,1.4
6,Plazoleta de Farray,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
14,Plaza de la feria,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Teatro Pérez Galdós,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
9,Torre Woermann,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Aparcamiento Sanapú,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
10,Castillo de la Luz,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
1,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,C.C. El Muelle,11,0.0,1017.2,1013.9,24.6,22.6,20.6,0.6
11,Plaza del Pilar,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,San Telmo,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
1,Teatro Pérez Galdós,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Plaza de España,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
15,Muelle Deportivo,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Plazoleta de Farray,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
1,Torre Las Palmas,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
9,Teatro Pérez Galdós,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Torre Las Palmas,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plazoleta de Farray,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Teatro Pérez Galdós,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Torre Las Palmas,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Plazoleta de Farray,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
1,Parque Santa Catalina,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Teatro Pérez Galdós,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
18,Plazoleta de Farray,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
12,Oficina Sítycleta (elect.),1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Teatro Pérez Galdós,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
11,Piscina Julio Navarro,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
1,Teatro Pérez Galdós,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
12,Oficina Sítycleta (elect.),1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
14,Plaza O'Shanahan,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
18,Obelisco,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
1,Plaza O'Shanahan,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
11,Piscina Julio Navarro,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
1,C.C. El Muelle,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
5,Plaza de España,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
3,San Bernardo,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
17,Parque Santa Catalina,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
1,Aparcamiento Sanapú,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
18,San Telmo,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
18,San Telmo,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
13,C.C. El Muelle,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Torre Woermann,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
13,Plaza Manuel Becerra,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
11,Parque Santa Catalina,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Torre Woermann,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
1,C.C. El Muelle,7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
11,Plaza de España (elect.),7,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
14,Plaza O'Shanahan,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
13,Ayuntamiento,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
9,Plazoleta de Farray,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
15,Intermodal El Rincón,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plazoleta de Farray,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Las Canteras - Luis Morote,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
16,León y Castillo,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
10,Las Canteras - Luis Morote,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
13,Ayuntamiento,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
1,Gabinete Literario,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Gabinete Literario,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,Parque Santa Catalina,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Las Canteras - Luis Morote,15,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
11,Las Canteras - Luis Morote,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
11,Plazoleta de Farray,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
12,Mercado Central,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
10,Churruca,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
10,Teatro Pérez Galdós,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
14,San Bernardo,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,Gabinete Literario,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Plaza San Agustín,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
9,Plaza San Agustín,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
1,Churruca,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plaza del Pilar,14,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
14,San Telmo,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
17,Gabinete Literario,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
19,C.C. El Muelle,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
1,Parque Santa Catalina,27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
14,Las Canteras - Luis Morote,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
18,Plazoleta de Farray,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,San Telmo,11,0.0,1017.2,1013.9,24.6,22.6,20.6,0.6
1,Plaza del Pilar,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Churruca,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Las Canteras - Luis Morote,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
1,Las Canteras - Luis Morote,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
15,Las Canteras - Luis Morote,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
10,Castillo de la Luz,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
18,San Telmo,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,Parque Santa Catalina,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
13,Intermodal El Rincón,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Base Naval,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
1,Plazoleta de Farray,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
11,Plaza de España,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
17,Cabildo de Gran Canaria,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
11,Plazoleta de Farray,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
11,Plazoleta de Farray,4,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
9,Teatro Pérez Galdós,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
10,Castillo de la Luz,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Vermisst,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
13,Intermodal El Rincón,1,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
16,Cabildo de Gran Canaria,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
11,Parque Santa Catalina,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
7,Gabinete Literario,3,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
1,Plaza del Pilar,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
15,Base Naval,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
11,Las Canteras - Luis Morote,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
11,Las Canteras - Luis Morote,29,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
1,Plaza del Pilar,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Plaza del Pilar,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
11,Parque Santa Catalina,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
14,San Telmo,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,Parque Santa Catalina,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
18,Castillo de la Luz,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,C.C. El Muelle,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Parque Santa Catalina,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Plaza del Pilar,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
14,Vermisst,2,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
11,Plaza de España (elect.),8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
16,Plazoleta de Farray,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
16,Plazoleta de Farray,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
18,Plaza de España (elect.),27,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Parque Santa Catalina,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
2,Plaza del Pilar,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
11,Parque Santa Catalina,13,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
1,Churruca,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,Las Canteras - Luis Morote,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
11,C.C. El Muelle,21,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,San Telmo,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plaza San Agustín,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
11,San Telmo,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Castillo de la Luz,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
25,San Telmo,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
15,Intermodal El Rincón,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,San Telmo,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
19,Las Canteras - Luis Morote,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,Oficina de la Sitycleta,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
16,Ayuntamiento,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
14,Las Canteras - Luis Morote,9,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Ayuntamiento,17,0.0,1018.4,1015.5,22.9,20.8,18.7,1.1
29,Teatro Pérez Galdós,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
14,Parque Santa Catalina,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
16,Churruca,19,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
1,Las Canteras - Luis Morote,8,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
3,Churruca,23,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
26,Parque Santa Catalina,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
9,Torre Woermann,10,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
11,Oficina de la Sitycleta,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
1,Plaza de la feria,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Teatro Pérez Galdós,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
1,Intermodal El Rincón,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
14,Churruca,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,León y Castillo,30,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
10,Las Canteras - Luis Morote,20,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
14,Churruca,31,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
11,Las Canteras - Luis Morote,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Parque Santa Catalina,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
20,Plaza Manuel Becerra,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
1,Service Car 3026LZF,28,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
19,C.C. El Muelle,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
24,Parque Santa Catalina,6,0.0,1015.1,1010.9,24.9,21.7,18.5,0.3
1,Intermodal El Rincón,16,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
1,Churruca,12,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
18,Intermodal El Rincón,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
11,Parque Santa Catalina,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Parque del Estadio Insular,18,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
20,Plaza Manuel Becerra,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
9,Las Canteras - Luis Morote,22,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
18,León y Castillo,5,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4
20,Plaza Manuel Becerra,25,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
18,Plaza de España,26,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
