id_country,start_place,start_day,start_h,prec,presMax,presMin,tmax,tmed,tmin,velmedia
14,Las Canteras - Luis Morote,10,11,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
18,Plazoleta de Farray,23,11,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,San Telmo,11,12,0.0,1017.2,1013.9,24.6,22.6,20.6,0.6
1,Plaza del Pilar,1,16,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Churruca,28,17,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Las Canteras - Luis Morote,16,14,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
1,Las Canteras - Luis Morote,4,10,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
15,Las Canteras - Luis Morote,22,15,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
10,Castillo de la Luz,31,20,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
18,San Telmo,30,14,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,Parque Santa Catalina,18,10,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
13,Intermodal El Rincón,1,11,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
1,Base Naval,12,14,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
1,Plazoleta de Farray,12,10,0.0,1017.9,1015.3,24.1,22.0,20.0,0.8
11,Plaza de España,21,12,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
17,Cabildo de Gran Canaria,29,15,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
11,Plazoleta de Farray,4,16,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
11,Plazoleta de Farray,4,16,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
9,Teatro Pérez Galdós,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
10,Castillo de la Luz,31,20,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Vermisst,31,16,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
13,Intermodal El Rincón,1,11,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
16,Cabildo de Gran Canaria,13,18,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
11,Parque Santa Catalina,20,10,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
7,Gabinete Literario,3,19,7.1,1009.7,1006.5,20.1,18.9,17.7,1.7
1,Plaza del Pilar,31,16,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
15,Base Naval,23,13,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
11,Las Canteras - Luis Morote,29,16,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
11,Las Canteras - Luis Morote,29,16,0.0,1022.8,1019.3,23.7,21.4,19.1,1.4
1,Plaza del Pilar,28,9,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,Plaza del Pilar,28,9,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
1,San Telmo,13,21,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
11,Parque Santa Catalina,13,10,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
14,San Telmo,25,10,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,Parque Santa Catalina,20,10,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
18,Castillo de la Luz,25,12,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,C.C. El Muelle,30,14,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
7,Parque Santa Catalina,26,12,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
9,Plaza del Pilar,30,16,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
14,Vermisst,2,19,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
11,Plaza de España (elect.),8,11,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
16,Plazoleta de Farray,22,15,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
16,Plazoleta de Farray,22,15,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
18,Plaza de España (elect.),27,15,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Parque Santa Catalina,16,10,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
2,Plaza del Pilar,16,19,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
11,Parque Santa Catalina,13,10,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
1,Churruca,23,17,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
1,Las Canteras - Luis Morote,16,18,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
11,C.C. El Muelle,21,15,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
1,San Telmo,31,12,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
1,Plaza San Agustín,18,17,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
11,San Telmo,22,21,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Castillo de la Luz,28,17,0.0,1020.6,1018.1,23.2,21.8,20.5,1.1
25,San Telmo,23,12,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
15,Intermodal El Rincón,30,15,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
11,San Telmo,22,21,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
19,Las Canteras - Luis Morote,25,16,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
11,Oficina de la Sitycleta,9,18,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
16,Ayuntamiento,31,17,0.0,1021.1,1017.9,23.8,21.4,18.9,2.5
14,Las Canteras - Luis Morote,9,15,0.0,1015.2,1009.2,25.0,22.4,19.9,0.8
1,Ayuntamiento,17,13,0.0,1018.4,1015.5,22.9,20.8,18.7,1.1
29,Teatro Pérez Galdós,16,17,0.0,1016.9,1014.0,22.5,19.9,17.3,1.9
14,Parque Santa Catalina,19,10,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
16,Churruca,19,14,0.0,1021.2,1018.7,23.3,20.6,17.8,1.1
1,Las Canteras - Luis Morote,8,17,0.0,1010.0,1005.7,23.7,22.0,20.2,0.6
3,Churruca,23,14,0.0,1023.6,1020.7,23.5,20.8,18.0,1.4
26,Parque Santa Catalina,10,13,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
9,Torre Woermann,10,17,0.0,1017.3,1014.1,24.8,22.4,20.0,0.8
