id_country;country;start_place;start_day;start_month;start_h;start_min;start_seg;end_day;end_month;end_h;end_min;end_seg;user_time
10;Francia;Plaza de la feria;27;12;13;33;44;27;12;15;6;26; 01:32:42
9;Países Bajos;Autoridad portuaria;10;12;17;15;31;10;12;18;48;1; 01:32:30
18;Polonia;San Telmo;27;12;15;27;55;27;12;17;0;12; 01:32:17
1;Alemania;Gabinete Literario;15;12;20;8;35;15;12;21;40;9; 01:31:34
9;Países Bajos;Gabinete Literario;15;12;20;8;48;15;12;21;40;10; 01:31:22
18;Polonia;Plazoleta de Farray;31;12;20;1;7;31;12;21;32;10; 01:31:03
12;Suecia;Base Naval;24;12;15;38;4;24;12;17;9;7; 01:31:03
6;Dinamarca;Plazoleta de Farray;25;12;15;26;55;25;12;16;57;56; 01:31:01
14;Finlandia;Plaza de la feria;31;12;15;39;24;31;12;17;10;15; 01:30:51
1;Alemania;Teatro Pérez Galdós;21;12;11;23;58;21;12;12;54;47; 01:30:49
9;Países Bajos;Torre Woermann;22;12;18;20;39;22;12;19;51;26; 01:30:47
1;Alemania;Aparcamiento Sanapú;1;12;13;41;43;1;12;15;12;1; 01:30:18
10;Francia;Castillo de la Luz;16;12;8;59;49;16;12;10;29;51; 01:30:02
1;Alemania;C.C. El Muelle;21;12;11;24;47;21;12;12;54;39; 01:29:52
1;Alemania;C.C. El Muelle;11;12;14;42;34;11;12;16;12;24; 01:29:50
11;Reino Unido;Plaza del Pilar;21;12;11;49;53;21;12;13;19;25; 01:29:32
1;Alemania;San Telmo;7;12;16;37;0;7;12;18;5;58; 01:28:58
1;Alemania;Teatro Pérez Galdós;28;12;13;52;32;28;12;15;21;27; 01:28:55
1;Alemania;Plaza de España;18;12;10;24;57;18;12;11;53;42; 01:28:45
15;Italia;Muelle Deportivo;30;12;17;15;33;30;12;18;44;13; 01:28:40
7;Eslovaquia;Plazoleta de Farray;4;12;13;34;29;4;12;15;2;56; 01:28:27
1;Alemania;Torre Las Palmas;10;12;20;7;22;10;12;21;35;25; 01:28:03
9;Países Bajos;Teatro Pérez Galdós;15;12;11;23;36;15;12;12;50;14; 01:26:38
11;Reino Unido;Torre Las Palmas;30;12;11;34;38;30;12;13;0;24; 01:25:46
1;Alemania;Plazoleta de Farray;26;12;16;3;15;26;12;17;28;56; 01:25:41
9;Países Bajos;Teatro Pérez Galdós;15;12;11;23;23;15;12;12;49;4; 01:25:41
11;Reino Unido;Torre Las Palmas;30;12;11;34;29;30;12;13;0;9; 01:25:40
7;Eslovaquia;Plazoleta de Farray;3;12;22;52;33;4;12;0;18;0; 01:25:27
1;Alemania;Parque Santa Catalina;31;12;12;17;2;31;12;13;41;44; 01:24:42
1;Alemania;Teatro Pérez Galdós;28;12;13;57;5;28;12;15;21;20; 01:24:15
18;Polonia;Plazoleta de Farray;31;12;20;8;19;31;12;21;32;8; 01:23:49
12;Suecia;Oficina Sítycleta (elect.);1;12;12;41;40;1;12;14;5;17; 01:23:37
